Open,High,Low,Close,Volume,Date
190.71332852258354,191.3052751424728,189.63388004252567,191.21823120117188,3935700,2020-01-02 00:00:00-05:00
189.02449473331592,191.23560714414222,188.68499285534864,190.5827178955078,3423200,2020-01-03 00:00:00-05:00
188.45865302707685,191.51416977199017,188.38029622613155,191.47935485839844,5682800,2020-01-06 00:00:00-05:00
191.07893504379987,192.00168312874348,188.81558015830035,190.225830078125,5685400,2020-01-07 00:00:00-05:00
190.46955964811292,194.09962228017133,190.35638792765576,193.07240295410156,4916200,2020-01-08 00:00:00-05:00
193.812354622325,196.34556816552998,193.12465043915498,196.0321807861328,4843600,2020-01-09 00:00:00-05:00
195.6491639684883,196.29335287202397,194.15187008259133,195.1877899169922,4226600,2020-01-10 00:00:00-05:00
195.4315123650577,195.44021277301445,193.84716143460088,194.4217071533203,6060900,2020-01-13 00:00:00-05:00
193.67305429797165,195.82323718955678,193.52506766889502,193.9603271484375,3915100,2020-01-14 00:00:00-05:00
193.49896043199456,195.84935905320907,193.36838789645262,195.50985717773438,3444300,2020-01-15 00:00:00-05:00
196.67635646160943,199.2269841058189,196.21498244213254,199.19216918945312,5390800,2020-01-16 00:00:00-05:00
199.87991378170992,202.48277096820794,199.27055299912124,201.88211059570312,7979200,2020-01-17 00:00:00-05:00
201.5512790662582,203.40548893457623,201.14213404101366,202.78741455078125,4873500,2020-01-21 00:00:00-05:00
203.51862733087665,205.90385412783934,202.72646515093209,202.74386596679688,4030800,2020-01-22 00:00:00-05:00
202.0735948765581,204.41529328748132,200.77651668737062,203.3967742919922,4617900,2020-01-23 00:00:00-05:00
204.10191681977574,204.9463081378931,200.70688431353935,201.96043395996094,4467500,2020-01-24 00:00:00-05:00
198.65242308095563,202.36954274192908,198.65242308095563,201.25527954101562,3595600,2020-01-27 00:00:00-05:00
201.80369141191565,204.78956476891378,201.394546479169,203.5795440673828,3621900,2020-01-28 00:00:00-05:00
204.4848891705088,205.33800727664845,203.1791107893866,203.71884155273438,2564000,2020-01-29 00:00:00-05:00
201.96041288335013,203.09209026732697,201.58609608017082,202.6481170654297,4685700,2020-01-30 00:00:00-05:00
202.7961222533863,203.03115283136412,198.382584326206,198.56539916992188,5304700,2020-01-31 00:00:00-05:00
200.48054713983345,203.2923200540128,199.65355666896505,201.5599822998047,5100900,2020-02-03 00:00:00-05:00
203.7275407795517,205.75585144710965,203.7275407795517,204.5719451904297,3505100,2020-02-04 00:00:00-05:00
206.40009258778417,207.46212699701314,205.3206440765653,207.27931213378906,3868600,2020-02-05 00:00:00-05:00
207.18354680348043,208.4109819283616,206.73087315002908,207.91477966308594,3930300,2020-02-06 00:00:00-05:00
207.91478182228744,208.51544213572535,205.89518438672707,206.57418823242188,2456100,2020-02-07 00:00:00-05:00
205.96479017673056,209.45556640625,205.5991605263371,209.45556640625,2568000,2020-02-10 00:00:00-05:00
209.4556002802258,211.05735222939114,209.09868426282685,210.35223388671875,2692400,2020-02-11 00:00:00-05:00
210.77874242279242,210.92672903965888,207.91472784519183,210.30865478515625,3592100,2020-02-12 00:00:00-05:00
209.7689525787182,212.05842166926777,209.27275040102867,210.97897338867188,2468100,2020-02-13 00:00:00-05:00
211.91916157730194,213.45127033727903,211.21404326570413,213.30328369140625,2841600,2020-02-14 00:00:00-05:00
213.13790834336447,214.24347139788233,211.67544252771384,212.3544464111328,2892600,2020-02-18 00:00:00-05:00
213.19879395958725,213.71239693944915,211.54480002565492,212.09323120117188,2713300,2020-02-19 00:00:00-05:00
212.13679910958282,215.12267321159692,210.79619227283052,215.03562927246094,3701800,2020-02-20 00:00:00-05:00
214.58297129937043,215.33161830256927,212.40667341600968,213.5731658935547,3881100,2020-02-21 00:00:00-05:00
207.60140246761026,211.63191036900216,206.92239859556196,208.66343688964844,5350100,2020-02-24 00:00:00-05:00
214.23472536349828,214.99207262223769,205.86032377967848,206.643798828125,8061500,2020-02-25 00:00:00-05:00
208.14112423489078,209.82992014824765,203.98004395732056,204.81573486328125,6963000,2020-02-26 00:00:00-05:00
201.15086100251494,204.4153077279657,195.49248667840027,195.6317596435547,7612800,2020-02-27 00:00:00-05:00
190.32158283972043,192.43693774076206,184.83731020592387,189.6338653564453,11809600,2020-02-28 00:00:00-05:00
191.4968133202038,200.21941957940052,190.19974819017972,200.1671905517578,7150800,2020-03-02 00:00:00-05:00
200.245498593406,205.28581139647815,196.3629910188121,198.42611694335938,8432500,2020-03-03 00:00:00-05:00
202.83960634113873,210.07362963758706,201.7862858990536,209.8647003173828,6770000,2020-03-04 00:00:00-05:00
205.96480693012137,208.58506441730822,202.9615056630163,204.4065704345703,6473900,2020-03-05 00:00:00-05:00
198.1039951093006,200.47179432867975,193.47282812323567,198.92227172851562,7399900,2020-03-06 00:00:00-05:00
186.17791746195823,188.188814477061,180.4150852149618,183.20945739746094,10120500,2020-03-09 00:00:00-04:00
189.08542277490872,196.58929170668472,183.67949437091298,196.4761199951172,7206600,2020-03-10 00:00:00-04:00
190.4293738616161,192.05060070590238,184.47023762039439,186.564697265625,7253900,2020-03-11 00:00:00-04:00
171.2462279578857,181.03497989934672,161.98327391337554,167.02224731445312,10928700,2020-03-12 00:00:00-04:00
175.6630053821969,180.36897782389863,166.50522090671498,180.23751831054688,10292300,2020-03-13 00:00:00-04:00
159.46817793591094,163.0874797390127,142.94034415546716,144.56158447265625,12536600,2020-03-16 00:00:00-04:00
147.40969113465763,153.1672588325745,136.09609755270128,152.16822814941406,16234400,2020-03-17 00:00:00-04:00
140.03963363975657,142.2567806697664,123.24013758727904,136.38528442382812,14681900,2020-03-18 00:00:00-04:00
134.2207285211451,142.76507477206462,124.44073514159716,141.20518493652344,13499100,2020-03-19 00:00:00-04:00
142.65116620208167,149.1711627174516,133.03767880125372,133.33563232421875,12602400,2020-03-20 00:00:00-04:00
131.50405866975763,144.5352777962679,128.24406089061665,142.3093719482422,12241600,2020-03-23 00:00:00-04:00
151.9491429887695,162.71063613708017,150.73978512498374,161.87811279296875,14676600,2020-03-24 00:00:00-04:00
161.61522549536724,167.8635573376829,157.74178981672242,159.28414916992188,11497400,2020-03-25 00:00:00-04:00
160.80019616821872,173.6911953550791,159.93261170725293,171.07093811035156,10170300,2020-03-26 00:00:00-04:00
165.18191794650463,172.0962645632866,163.43799034023777,166.9871826171875,7121700,2020-03-27 00:00:00-04:00
167.00475921681794,173.6912499079736,164.4107770080198,171.85093688964844,6936700,2020-03-30 00:00:00-04:00
170.71163693877247,171.31631581155932,162.5178236825449,163.6220245361328,7335400,2020-03-31 00:00:00-04:00
154.15754402522177,160.16048725320692,153.36006845996513,156.54119873046875,7858200,2020-04-01 00:00:00-04:00
153.3162276750091,160.12541752840954,152.48370437722158,158.8897705078125,6353900,2020-04-02 00:00:00-04:00
157.35619480663166,158.924856742085,153.30749319407673,156.6025390625,7299800,2020-04-03 00:00:00-04:00
164.75252139264978,168.61719810905052,162.2374206908347,167.67074584960938,7454000,2020-04-06 00:00:00-04:00
177.82757229543373,178.87042291188567,168.12645938350616,168.5120391845703,6438800,2020-04-07 00:00:00-04:00
170.19461712994752,172.4380535610084,167.8547690409941,170.72918701171875,6094700,2020-04-08 00:00:00-04:00
175.0933509840934,180.5179168174822,172.2014161304171,176.6094207763672,7125100,2020-04-09 00:00:00-04:00
175.66298481684422,175.66298481684422,171.21115993231447,174.208251953125,4415600,2020-04-13 00:00:00-04:00
176.9161676167826,183.79545364058677,175.3825670330641,181.55201721191406,5655400,2020-04-14 00:00:00-04:00
174.10309181047901,177.2316432709969,172.29782706301464,173.93658447265625,5693900,2020-04-15 00:00:00-04:00
174.49746681937623,177.20537767356126,172.4818880054438,175.13720703125,7262800,2020-04-16 00:00:00-04:00
181.55200118831934,184.25113958207297,180.6668994577312,183.52377319335938,6717600,2020-04-17 00:00:00-04:00
180.64063518643147,184.9347116862297,179.96584715179924,180.57052612304688,4753100,2020-04-20 00:00:00-04:00
175.9258949088462,179.07196374303246,174.83922454233675,175.80320739746094,4845000,2020-04-21 00:00:00-04:00
176.92489729580666,180.2725341552344,176.26764001028974,178.92295837402344,4067700,2020-04-22 00:00:00-04:00
178.1781009886268,181.37674823271527,177.1878289205841,177.3017578125,3565500,2020-04-23 00:00:00-04:00
179.41375032657024,186.59976232213765,178.6425773573458,185.9425048828125,5025200,2020-04-24 00:00:00-04:00
188.4488344574595,193.61926732256933,187.54620203785728,190.83248901367188,5472800,2020-04-27 00:00:00-04:00
196.29212565231373,196.49368085184236,190.08761395555226,190.7185821533203,5080700,2020-04-28 00:00:00-04:00
193.9698162016816,196.4498692607867,192.63778405887615,194.38169860839844,4381100,2020-04-29 00:00:00-04:00
189.9824242473306,194.64457619054616,189.74582122631466,192.64651489257812,5152700,2020-04-30 00:00:00-04:00
189.96489241020635,192.53257120546016,189.08854933383017,191.5423126220703,3819300,2020-05-01 00:00:00-04:00
189.88604007620677,195.12658209295466,188.59782786137094,194.40797424316406,4090900,2020-05-04 00:00:00-04:00
197.1246284330929,200.55113332639712,195.95909045000215,197.71177673339844,4655200,2020-05-05 00:00:00-04:00
199.25418637448067,200.1918801924009,196.12564751870983,196.23080444335938,3321100,2020-05-06 00:00:00-04:00
198.50049885516174,202.98738525497697,198.42163117426614,201.0769500732422,4501300,2020-05-07 00:00:00-04:00
203.92509188024943,206.42267573990011,202.56675703328042,205.441162109375,4365200,2020-05-08 00:00:00-04:00
203.1100912344897,209.24449436014197,202.65438897244155,207.30776977539062,4378300,2020-05-11 00:00:00-04:00
209.069173003627,209.66507987376806,204.1002960205078,204.1002960205078,4399600,2020-05-12 00:00:00-04:00
204.22301370661683,207.07990110032478,200.27946930155244,201.64657592773438,6237200,2020-05-13 00:00:00-04:00
198.3777813106527,205.64267302625575,198.22880458975476,205.48492431640625,6434500,2020-05-14 00:00:00-04:00
204.0039223654206,213.15294727618473,203.92505468872608,209.73521423339844,16176300,2020-05-15 00:00:00-04:00
215.44023339866803,217.61357440779918,213.86281278621396,215.01083374023438,8314800,2020-05-18 00:00:00-04:00
210.71665494338924,212.47811279155553,208.39435152656787,208.65725708007812,9387000,2020-05-19 00:00:00-04:00
212.07507178081772,212.31168820835194,205.89684904008828,208.7362060546875,7534200,2020-05-20 00:00:00-04:00
208.23667933397354,211.35645917267365,206.63296957762083,211.09356689453125,4772700,2020-05-21 00:00:00-04:00
210.93583286352575,212.3730353626415,209.1480983878209,211.9699249267578,3041800,2020-05-22 00:00:00-04:00
217.4645613989582,217.525911841958,212.13640646940038,212.49569702148438,4535200,2020-05-26 00:00:00-04:00
212.67974128120912,216.79855180046798,211.00592249750517,216.7722625732422,4664800,2020-05-27 00:00:00-04:00
218.66515438157958,221.04003691504715,214.20455742528642,214.82676696777344,5259300,2020-05-28 00:00:00-04:00
214.7566916330825,218.83169608994535,214.46749673315512,217.7537841796875,5341600,2020-05-29 00:00:00-04:00
218.56877907412863,218.89302180633524,215.46651639735254,216.71092224121094,3407800,2020-06-01 00:00:00-04:00
217.88522655309555,221.46946723676788,216.45678277640155,221.46070861816406,5301000,2020-06-02 00:00:00-04:00
221.98077598390023,222.88879792798176,220.7377509510894,221.2755126953125,4638100,2020-06-03 00:00:00-04:00
220.191221465689,222.3069982945216,218.16359415785217,219.46832275390625,4759400,2020-06-04 00:00:00-04:00
222.4568822161957,225.55122255201704,220.72900080779928,224.71371459960938,5054300,2020-06-05 00:00:00-04:00
222.58909816555808,226.39749896165372,222.38632602843944,226.3622283935547,3811900,2020-06-08 00:00:00-04:00
225.09279395824328,227.7022647473454,223.7968762066387,226.35345458984375,3716100,2020-06-09 00:00:00-04:00
226.96175812516964,228.5838547807942,224.11425788255505,224.3170166015625,3589800,2020-06-10 00:00:00-04:00
219.38897415241556,220.9405428594059,210.46743054660527,211.11097717285156,6563700,2020-06-11 00:00:00-04:00
214.2846538151896,217.21147871737034,208.97756329550407,213.73806762695312,5238500,2020-06-12 00:00:00-04:00
209.48007694456174,213.53533177290512,206.56206264648648,212.7771759033203,6250900,2020-06-15 00:00:00-04:00
219.86501461871046,221.84856030836042,214.10832531555764,220.34988403320312,5291600,2020-06-16 00:00:00-04:00
222.83596534026432,224.46687284031302,220.46452378997537,221.14334106445312,4234000,2020-06-17 00:00:00-04:00
219.82980182604018,221.93676802312385,217.8638910237546,219.69757080078125,3347800,2020-06-18 00:00:00-04:00
223.12691134363672,224.1847999498249,217.20271900684276,217.44073486328125,11114600,2020-06-19 00:00:00-04:00
216.6031840179137,220.44685526843116,216.43568245384796,219.6534423828125,3815200,2020-06-22 00:00:00-04:00
223.03870822776153,223.42660378566,220.50858963662523,220.66726684570312,3105300,2020-06-23 00:00:00-04:00
218.46334099111093,220.6496456504044,213.9849334079352,216.9822998046875,3873000,2020-06-24 00:00:00-04:00
215.8097903035379,217.17623568507238,213.5176875053652,216.32110595703125,2938400,2020-06-25 00:00:00-04:00
216.29463141058193,216.95581327128053,211.79858937711964,212.4685821533203,5002700,2020-06-26 00:00:00-04:00
