asx_code,company_name,gics_industry_group,ticker_yf,security_type,is_etf
BOA,BOA RESOURCES LTD,Materials,BOA.AX,Equity,False
BML,BOAB METALS LIMITED,Materials,BML.AX,Equity,False
BOD,BOD SCIENCE LIMITED,Consumer Discretionary Distribution & Retail,BOD.AX,Equity,False
BOL,BOOM LOGISTICS LIMITED,Capital Goods,BOL.AX,Equity,False
BOE,BOSS ENERGY LTD,Energy,BOE.AX,Equity,False
BTE,BOTALA ENERGY LTD,Energy,BTE.AX,Equity,False
BOT,BOTANIX PHARMACEUTICALS LTD,"Pharmaceuticals, Biotechnology & Life Sciences",BOT.AX,Equity,False
BOC,BOUGAINVILLE COPPER LIMITED,Materials,BOC.AX,Equity,False
BUY,BOUNTY OIL & GAS NL,Energy,BUY.AX,Equity,False
BCB,BOWEN COKING COAL LIMITED,Materials,BCB.AX,Equity,False
BP1,BP CAPITAL MARKETS P.L.C.,Not Applic,BP1.AX,Equity,False
BPH,BPH ENERGY LTD,Financial Services,BPH.AX,Equity,False
BP8,BPH GLOBAL LTD,"Pharmaceuticals, Biotechnology & Life Sciences",BP8.AX,Equity,False
BPM,BPM MINERALS LIMITED,Materials,BPM.AX,Equity,False
BRN,BRAINCHIP HOLDINGS LTD,Software & Services,BRN.AX,Equity,False
BXB,BRAMBLES LIMITED,Commercial & Professional Services,BXB.AX,Equity,False
BVS,BRAVURA SOLUTIONS LIMITED.,Software & Services,BVS.AX,Equity,False
BCM,BRAZILIAN CRITICAL MINERALS LIMITED,Materials,BCM.AX,Equity,False
BRE,BRAZILIAN RARE EARTHS LIMITED,Materials,BRE.AX,Equity,False
BTM,BREAKTHROUGH MINERALS LIMITED,Energy,BTM.AX,Equity,False
BRG,BREVILLE GROUP LIMITED,Consumer Durables & Apparel,BRG.AX,Equity,False
BGE,BRIDGE SAAS LIMITED,Software & Services,BGE.AX,Equity,False
BTR,BRIGHTSTAR RESOURCES LIMITED,Materials,BTR.AX,Equity,False
BBL,BRISBANE BRONCOS LIMITED,Media & Entertainment,BBL.AX,Equity,False
BGP,BRISCOE GROUP AUSTRALASIA LIMITED,Consumer Discretionary Distribution & Retail,BGP.AX,Equity,False
BCK,BROCKMAN MINING LIMITED,Materials,BCK.AX,Equity,False
BHM,BROKEN HILL MINES LIMITED,Materials,BHM.AX,Equity,False
BRK,BROOKSIDE ENERGY LIMITED,Energy,BRK.AX,Equity,False
BYH,BRYAH RESOURCES LIMITED,Materials,BYH.AX,Equity,False
BSA,BSA LIMITED,Commercial & Professional Services,BSA.AX,Equity,False
BFL,BSP FINANCIAL GROUP LIMITED,Banks,BFL.AX,Equity,False
BTC,BTC HEALTH LTD,Not Applic,BTC.AX,Equity,False
BUS,BUBALUS RESOURCES LIMITED,Materials,BUS.AX,Equity,False
BUB,BUBS AUSTRALIA LIMITED,"Food, Beverage & Tobacco",BUB.AX,Equity,False
BNR,BULLETIN RESOURCES LIMITED,Materials,BNR.AX,Equity,False
BDM,BURGUNDY DIAMOND MINES LIMITED,Materials,BDM.AX,Equity,False
BUR,BURLEY MINERALS LTD,Materials,BUR.AX,Equity,False
BRU,BURU ENERGY LIMITED,Energy,BRU.AX,Equity,False
BTN,BUTN LIMITED,Financial Services,BTN.AX,Equity,False
BUX,BUXTON RESOURCES LIMITED,Materials,BUX.AX,Equity,False
BWE,BWE DRILLING LTD,Capital Goods,BWE.AX,Equity,False
BWP,BWP GROUP,Equity Real Estate Investment Trusts (REITs),BWP.AX,Equity,False
C29,C29 METALS LIMITED,Materials,C29.AX,Equity,False
CDM,CADENCE CAPITAL LIMITED,Not Applic,CDM.AX,Equity,False
CDO,CADENCE OPPORTUNITIES FUND LIMITED.,Not Applic,CDO.AX,Fund,False
CCM,CADOUX LIMITED,Materials,CCM.AX,Equity,False
DXA,CAISSE FRANCAISE DE FINANCEMENT LOCAL,Not Applic,DXA.AX,Equity,False
CXL,CALIX LIMITED,Materials,CXL.AX,Equity,False
CMB,CAMBIUM BIO LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",CMB.AX,Equity,False
CHL,CAMPLIFY HOLDINGS LIMITED,Transportation,CHL.AX,Equity,False
CP8,CANADIAN PHOSPHATE LIMITED,Materials,CP8.AX,Equity,False
CAN,CANN GROUP LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",CAN.AX,Equity,False
CAE,CANNINDAH RESOURCES LIMITED,Materials,CAE.AX,Equity,False
CBY,CANTERBURY RESOURCES LIMITED,Materials,CBY.AX,Equity,False
CAY,CANYON RESOURCES LIMITED,Materials,CAY.AX,Equity,False
CAA,CAPRAL LIMITED,Materials,CAA.AX,Equity,False
CRS,CAPRICE RESOURCES LTD,Materials,CRS.AX,Equity,False
CMM,CAPRICORN METALS LTD,Materials,CMM.AX,Equity,False
CSC,CAPSTONE COPPER CORP.,Materials,CSC.AX,Equity,False
CAQ,CAQ HOLDINGS LIMITED,Real Estate Management & Development,CAQ.AX,Equity,False
CAR,CAR GROUP LIMITED,Media & Entertainment,CAR.AX,Equity,False
CVV,CARAVEL MINERALS LIMITED,Materials,CVV.AX,Equity,False
CRB,CARBINE RESOURCES LIMITED,Materials,CRB.AX,Equity,False
CG1,CARBONXT GROUP LIMITED,Materials,CG1.AX,Equity,False
CTQ,CARETEQ LIMITED,Health Care Equipment & Services,CTQ.AX,Equity,False
CDP,CARINDALE PROPERTY TRUST,Equity Real Estate Investment Trusts (REITs),CDP.AX,Trust,False
CIN,CARLTON INVESTMENTS LIMITED,Not Applic,CIN.AX,Equity,False
CNB,CARNABY RESOURCES LIMITED,Materials,CNB.AX,Equity,False
CVN,CARNARVON ENERGY LIMITED,Energy,CVN.AX,Equity,False
CAV,CARNAVALE RESOURCES LIMITED,Materials,CAV.AX,Equity,False
CCE,CARNEGIE CLEAN ENERGY LIMITED,Utilities,CCE.AX,Equity,False
CCV,CASH CONVERTERS INTERNATIONAL,Financial Services,CCV.AX,Equity,False
CPN,CASPIN RESOURCES LIMITED,Materials,CPN.AX,Equity,False
CMD,CASSIUS MINING LIMITED,Materials,CMD.AX,Equity,False
CST,CASTILE RESOURCES LTD,Materials,CST.AX,Equity,False
CDT,CASTLE MINERALS LIMITED,Materials,CDT.AX,Equity,False
CTN,CATALINA RESOURCES LTD,Materials,CTN.AX,Equity,False
CYL,CATALYST METALS LIMITED,Materials,CYL.AX,Equity,False
CAT,CATAPULT SPORTS LTD,Software & Services,CAT.AX,Equity,False
CXU,CAULDRON ENERGY LIMITED,Energy,CXU.AX,Equity,False
CVR,CAVALIER RESOURCES LIMITED,Materials,CVR.AX,Equity,False
CAZ,CAZALY RESOURCES LIMITED,Materials,CAZ.AX,Equity,False
CD1,CD PRIVATE EQUITY FUND I,Not Applic,CD1.AX,Fund,False
CD2,CD PRIVATE EQUITY FUND II,Not Applic,CD2.AX,Fund,False
CD3,CD PRIVATE EQUITY FUND III,Not Applic,CD3.AX,Fund,False
CWP,CEDAR WOODS PROPERTIES LIMITED,Real Estate Management & Development,CWP.AX,Equity,False
CLA,CELSIUS RESOURCES LIMITED.,Materials,CLA.AX,Equity,False
CTM,CENTAURUS METALS LIMITED,Materials,CTM.AX,Equity,False
CTP,CENTRAL PETROLEUM LIMITED,Energy,CTP.AX,Equity,False
CAF,CENTREPOINT ALLIANCE LIMITED,Financial Services,CAF.AX,Equity,False
CNI,CENTURIA CAPITAL GROUP,Equity Real Estate Investment Trusts (REITs),CNI.AX,Equity,False
C2F,CENTURIA FUNDS MANAGEMENT LIMITED,Not Applic,C2F.AX,Fund,False
CIP,CENTURIA INDUSTRIAL REIT,Equity Real Estate Investment Trusts (REITs),CIP.AX,Equity,False
COF,CENTURIA OFFICE REIT,Equity Real Estate Investment Trusts (REITs),COF.AX,Equity,False
CTT,CETTIRE LIMITED,Consumer Discretionary Distribution & Retail,CTT.AX,Equity,False
CGR,CGN RESOURCES LIMITED,Materials,CGR.AX,Equity,False
CHN,CHALICE MINING LIMITED,Materials,CHN.AX,Equity,False
CEL,CHALLENGER GOLD LIMITED,Materials,CEL.AX,Equity,False
CIM,CHALLENGER IM CAPITAL LIMITED,Not Applic,CIM.AX,Equity,False
CGF,CHALLENGER LIMITED,Financial Services,CGF.AX,Equity,False
CIA,CHAMPION IRON LIMITED,Materials,CIA.AX,Equity,False
CCA,CHANGE FINANCIAL LIMITED,Financial Services,CCA.AX,Equity,False
CHR,CHARGER METALS NL,Materials,CHR.AX,Equity,False
CC9,CHARIOT CORPORATION LTD,Materials,CC9.AX,Equity,False
CHC,CHARTER HALL GROUP,Equity Real Estate Investment Trusts (REITs),CHC.AX,Equity,False
CLW,CHARTER HALL LONG WALE REIT,Equity Real Estate Investment Trusts (REITs),CLW.AX,Equity,False
CQR,CHARTER HALL RETAIL REIT,Equity Real Estate Investment Trusts (REITs),CQR.AX,Equity,False
CQE,CHARTER HALL SOCIAL INFRASTRUCTURE REIT,Equity Real Estate Investment Trusts (REITs),CQE.AX,Equity,False
CMX,CHEMX MATERIALS LIMITED,Materials,CMX.AX,Equity,False
CHW,CHILWA MINERALS LTD,Materials,CHW.AX,Equity,False
CHM,CHIMERIC THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",CHM.AX,Equity,False
CNU,CHORUS LIMITED,Telecommunication Services,CNU.AX,Equity,False
C79,CHRYSOS CORPORATION LIMITED,Commercial & Professional Services,C79.AX,Equity,False
CTO,CITIGOLD CORPORATION LIMITED,Materials,CTO.AX,Equity,False
CCX,CITY CHIC COLLECTIVE LIMITED,Consumer Discretionary Distribution & Retail,CCX.AX,Equity,False
CVL,CIVMEC LIMITED,Capital Goods,CVL.AX,Equity,False
CL8,CL8 HOLDINGS LIMITED,Transportation,CL8.AX,Equity,False
C7A,CLARA RESOURCES AUSTRALIA LTD,Materials,C7A.AX,Equity,False
CU6,CLARITY PHARMACEUTICALS LTD,"Pharmaceuticals, Biotechnology & Life Sciences",CU6.AX,Equity,False
CLZ,CLASSIC MINERALS LTD,Materials,CLZ.AX,Equity,False
CNQ,CLEAN TEQ WATER LIMITED,Commercial & Professional Services,CNQ.AX,Equity,False
CWY,CLEANAWAY WASTE MANAGEMENT LIMITED,Commercial & Professional Services,CWY.AX,Equity,False
CSX,CLEANSPACE HOLDINGS LIMITED,Health Care Equipment & Services,CSX.AX,Equity,False
CVW,CLEARVIEW WEALTH LIMITED,Insurance,CVW.AX,Equity,False
CPV,CLEARVUE TECHNOLOGIES LIMITED,Capital Goods,CPV.AX,Equity,False
COV,CLEO DIAGNOSTICS LTD,"Pharmaceuticals, Biotechnology & Life Sciences",COV.AX,Equity,False
CC5,CLEVER CULTURE SYSTEMS LIMITED,Health Care Equipment & Services,CC5.AX,Equity,False
CAM,CLIME CAPITAL LIMITED,Not Applic,CAM.AX,Equity,False
CIW,CLIME INVESTMENT MANAGEMENT LTD,Financial Services,CIW.AX,Equity,False
CUV,CLINUVEL PHARMACEUTICALS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",CUV.AX,Equity,False
CLG,CLOSE THE LOOP LTD.,Commercial & Professional Services,CLG.AX,Equity,False
CLV,CLOVER CORPORATION LIMITED,Materials,CLV.AX,Equity,False
CLU,CLUEY LTD,Consumer Services,CLU.AX,Equity,False
CEH,COAST ENTERTAINMENT HOLDINGS LIMITED,Consumer Services,CEH.AX,Equity,False
COB,COBALT BLUE HOLDINGS LIMITED,Materials,COB.AX,Equity,False
CBO,COBRAM ESTATE OLIVES LIMITED,"Food, Beverage & Tobacco",CBO.AX,Equity,False
CBE,COBRE LIMITED,Materials,CBE.AX,Equity,False
COH,COCHLEAR LIMITED,Health Care Equipment & Services,COH.AX,Equity,False
COD,CODA MINERALS LTD,Materials,COD.AX,Equity,False
CDA,CODAN LIMITED,Technology Hardware & Equipment,CDA.AX,Equity,False
CDE,CODEIFAI LIMITED,Commercial & Professional Services,CDE.AX,Equity,False
CDR,CODRUS MINERALS LIMITED,Materials,CDR.AX,Equity,False
COG,COG FINANCIAL SERVICES LIMITED,Financial Services,COG.AX,Equity,False
CGS,COGSTATE LTD,Health Care Equipment & Services,CGS.AX,Equity,False
CKA,COKAL LIMITED,Materials,CKA.AX,Equity,False
COL,COLES GROUP LIMITED.,Consumer Staples Distribution & Retail,COL.AX,Equity,False
CKF,COLLINS FOODS LIMITED,Consumer Services,CKF.AX,Equity,False
COI,COMET RIDGE LIMITED,Energy,COI.AX,Equity,False
CBA,COMMONWEALTH BANK OF AUSTRALIA.,Banks,CBA.AX,Equity,False
CCG,COMMS GROUP LTD,Telecommunication Services,CCG.AX,Equity,False
CF1,COMPLII FINTECH SOLUTIONS LTD,Software & Services,CF1.AX,Equity,False
CMP,COMPUMEDICS LIMITED,Health Care Equipment & Services,CMP.AX,Equity,False
CPU,COMPUTERSHARE LIMITED.,Commercial & Professional Services,CPU.AX,Equity,False
CND,CONDOR ENERGY LIMITED,Energy,CND.AX,Equity,False
CNJ,CONICO LTD,Materials,CNJ.AX,Equity,False
CML,CONNECTED MINERALS LIMITED,Technology Hardware & Equipment,CML.AX,Equity,False
CQT,CONNEQT HEALTH LIMITED,Health Care Equipment & Services,CQT.AX,Equity,False
CXZ,CONNEXION MOBILITY LTD,Software & Services,CXZ.AX,Equity,False
CRD,CONRAD ASIA ENERGY LTD.,Energy,CRD.AX,Equity,False
CR1,CONSTELLATION RESOURCES LIMITED,Materials,CR1.AX,Equity,False
CT1,CONSTELLATION TECHNOLOGIES LIMITED,Technology Hardware & Equipment,CT1.AX,Equity,False
CEN,CONTACT ENERGY LIMITED,Utilities,CEN.AX,Equity,False
CBL,CONTROL BIONICS LIMITED,Health Care Equipment & Services,CBL.AX,Equity,False
CPM,COOPER METALS LIMITED,Materials,CPM.AX,Equity,False
COY,COPPERMOLY LIMITED,Materials,COY.AX,Equity,False
CZN,CORAZON MINING LIMITED,Materials,CZN.AX,Equity,False
CR3,CORE ENERGY MINERALS LTD,Materials,CR3.AX,Equity,False
CXO,CORE LITHIUM LTD,Materials,CXO.AX,Equity,False
CR9,CORELLA RESOURCES LTD,Materials,CR9.AX,Equity,False
CRN,CORONADO GLOBAL RESOURCES INC.,Materials,CRN.AX,Equity,False
CTD,CORPORATE TRAVEL MANAGEMENT LIMITED,Consumer Services,CTD.AX,Equity,False
CMO,COSMO METALS LIMITED,Materials,CMO.AX,Equity,False
C1X,COSMOS EXPLORATION LIMITED,Materials,C1X.AX,Equity,False
COS,COSOL LIMITED,Software & Services,COS.AX,Equity,False
CUP,COUNT LIMITED,Commercial & Professional Services,CUP.AX,Equity,False
CYG,COVENTRY GROUP LIMITED,Capital Goods,CYG.AX,Equity,False
CGO,CPT GLOBAL LIMITED,Software & Services,CGO.AX,Equity,False
CCR,CREDIT CLEAR LIMITED,Software & Services,CCR.AX,Equity,False
CCP,CREDIT CORP GROUP LIMITED,Financial Services,CCP.AX,Equity,False
CI1,CREDIT INTELLIGENCE LTD,Commercial & Professional Services,CI1.AX,Equity,False
CRI,CRITICA LIMITED,Materials,CRI.AX,Equity,False
CMG,CRITICAL MINERALS GROUP LIMITED,Materials,CMG.AX,Equity,False
CRR,CRITICAL RESOURCES LIMITED,Materials,CRR.AX,Equity,False
CMW,CROMWELL PROPERTY GROUP,Equity Real Estate Investment Trusts (REITs),CMW.AX,Equity,False
CTE,CRYOSITE LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",CTE.AX,Equity,False
CPL,CSL FINANCE PLC,Not Applic,CPL.AX,Equity,False
CSL,CSL LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",CSL.AX,Equity,False
CLX,CTI LOGISTICS LIMITED,Transportation,CLX.AX,Equity,False
CUE,CUE ENERGY RESOURCES LIMITED,Energy,CUE.AX,Equity,False
CUF,CUFE LTD,Materials,CUF.AX,Equity,False
CUL,CULLEN RESOURCES LIMITED,Materials,CUL.AX,Equity,False
CPO,CULPEO MINERALS LIMITED,Materials,CPO.AX,Equity,False
CVB,CURVEBEAM AI LIMITED,Health Care Equipment & Services,CVB.AX,Equity,False
CCL,CUSCAL LIMITED,Financial Services,CCL.AX,Equity,False
CVC,CVC LIMITED,Financial Services,CVC.AX,Equity,False
CYQ,CYCLIQ GROUP LTD,Consumer Durables & Apparel,CYQ.AX,Equity,False
CLE,CYCLONE METALS LIMITED,Materials,CLE.AX,Equity,False
CYC,CYCLOPHARM LIMITED,Health Care Equipment & Services,CYC.AX,Equity,False
CY5,CYGNUS METALS LIMITED,Materials,CY5.AX,Equity,False
CYP,CYNATA THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",CYP.AX,Equity,False
CYM,CYPRIUM METALS LIMITED,Materials,CYM.AX,Equity,False
CZR,CZR RESOURCES LTD,Materials,CZR.AX,Equity,False
D3E,D3 ENERGY LIMITED,Energy,D3E.AX,Equity,False
DAL,DALAROO METALS LTD,Materials,DAL.AX,Equity,False
DBI,DALRYMPLE BAY INFRASTRUCTURE LIMITED,Transportation,DBI.AX,Equity,False
DTM,DART MINING NL,Materials,DTM.AX,Equity,False
DTL,DATA#3 LIMITED,Software & Services,DTL.AX,Equity,False
DDT,DATADOT TECHNOLOGY LIMITED,Automobiles & Components,DDT.AX,Equity,False
DWG,DATAWORKS GROUP LIMITED,Software & Services,DWG.AX,Equity,False
DTR,DATELINE RESOURCES LIMITED,Materials,DTR.AX,Equity,False
DEM,DE.MEM LIMITED,Utilities,DEM.AX,Equity,False
DAI,DECIDR AI INDUSTRIES LTD,"Food, Beverage & Tobacco",DAI.AX,Equity,False
DYL,DEEP YELLOW LIMITED,Energy,DYL.AX,Equity,False
DEL,DELOREAN CORPORATION LIMITED,Utilities,DEL.AX,Equity,False
DLI,DELTA LITHIUM LIMITED,Materials,DLI.AX,Equity,False
DGH,DESANE GROUP HOLDINGS LIMITED,Real Estate Management & Development,DGH.AX,Equity,False
DM1,DESERT METALS LIMITED,Materials,DM1.AX,Equity,False
DSM,DESERT MINERALS LTD,Class Pend,DSM.AX,Equity,False
DES,DESOTO RESOURCES LIMITED,Materials,DES.AX,Equity,False
DRR,DETERRA ROYALTIES LIMITED,Materials,DRR.AX,Equity,False
DVP,DEVELOP GLOBAL LIMITED,Materials,DVP.AX,Equity,False
DEV,DEVEX RESOURCES LIMITED,Energy,DEV.AX,Equity,False
DXS,DEXUS,Equity Real Estate Investment Trusts (REITs),DXS.AX,Equity,False
DXC,DEXUS CONVENIENCE RETAIL REIT,Equity Real Estate Investment Trusts (REITs),DXC.AX,Equity,False
DXI,DEXUS INDUSTRIA REIT.,Equity Real Estate Investment Trusts (REITs),DXI.AX,Equity,False
DGL,DGL GROUP LIMITED,Materials,DGL.AX,Equity,False
DGR,DGR GLOBAL LIMITED,Materials,DGR.AX,Equity,False
DBO,DIABLO RESOURCES LIMITED,Materials,DBO.AX,Equity,False
DRX,DIATREME RESOURCES LIMITED,Materials,DRX.AX,Equity,False
DDR,DICKER DATA LIMITED,Technology Hardware & Equipment,DDR.AX,Equity,False
DGT,DIGICO INFRASTRUCTURE REIT,Class Pend,DGT.AX,Equity,False
DCC,DIGITALX LIMITED,Software & Services,DCC.AX,Equity,False
DXB,DIMERIX LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",DXB.AX,Equity,False
DAF,DISCOVERY ALASKA LIMITED,Materials,DAF.AX,Equity,False
DUI,DIVERSIFIED UNITED INVESTMENT LIMITED,Not Applic,DUI.AX,Equity,False
DJW,DJERRIWARRH INVESTMENTS LIMITED,Not Applic,DJW.AX,Equity,False
DMM,DMC MINING LIMITED.,Materials,DMM.AX,Equity,False
DOC,DOCTOR CARE ANYWHERE GROUP PLC,Health Care Equipment & Services,DOC.AX,Equity,False
DME,DOME GOLD MINES LIMITED,Materials,DME.AX,Equity,False
DN1,DOMINION INCOME TRUST 1,Not Applic,DN1.AX,Trust,False
DMN,DOMINION INVESTMENT GROUP LIMITED,Not Applic,DMN.AX,Equity,False
DMP,DOMINO'S PIZZA ENTERPRISES LIMITED,Consumer Services,DMP.AX,Equity,False
DVL,DORSAVI LTD,"Pharmaceuticals, Biotechnology & Life Sciences",DVL.AX,Equity,False
DTZ,DOTZ NANO LIMITED,Technology Hardware & Equipment,DTZ.AX,Equity,False
DOW,DOWNER EDI LIMITED,Commercial & Professional Services,DOW.AX,Equity,False
DPM,DPM METALS INC.,Class Pend,DPM.AX,Equity,False
DMG,DRAGON MOUNTAIN GOLD LIMITED,Materials,DMG.AX,Equity,False
DRE,DREADNOUGHT RESOURCES LTD,Materials,DRE.AX,Equity,False
DA8,DRIVER AUSTRALIA EIGHT TRUST,Not Applic,DA8.AX,Trust,False
DAM,DRIVER AUSTRALIA MASTER TRUST,Not Applic,DAM.AX,Trust,False
DA9,DRIVER AUSTRALIA NINE TRUST,Not Applic,DA9.AX,Trust,False
DAT,DRIVER AUSTRALIA SEVEN TRUST,Not Applic,DAT.AX,Trust,False
D10,DRIVER AUSTRALIA TEN TRUST,Not Applic,D10.AX,Trust,False
DRO,DRONESHIELD LIMITED,Capital Goods,DRO.AX,Equity,False
DTI,DTI GROUP LTD,Technology Hardware & Equipment,DTI.AX,Equity,False
DUB,DUBBER CORPORATION LIMITED,Software & Services,DUB.AX,Equity,False
DUG,DUG TECHNOLOGY LTD,Software & Services,DUG.AX,Equity,False
DKM,DUKETON MINING LIMITED,Materials,DKM.AX,Equity,False
DUN,DUNDAS MINERALS LIMITED,Materials,DUN.AX,Equity,False
DUR,DURATEC LIMITED,Capital Goods,DUR.AX,Equity,False
DSK,DUSK GROUP LIMITED,Consumer Discretionary Distribution & Retail,DSK.AX,Equity,False
DBF,DUXTON FARMS LTD,"Food, Beverage & Tobacco",DBF.AX,Equity,False
DXN,DXN LIMITED,Software & Services,DXN.AX,Equity,False
DY6,DY6 METALS LTD,Class Pend,DY6.AX,Equity,False
DYM,DYNAMIC METALS LIMITED,Materials,DYM.AX,Equity,False
DNL,DYNO NOBEL LIMITED.,Materials,DNL.AX,Equity,False
E79,E79 GOLD MINES LIMITED,Materials,E79.AX,Equity,False
APE,EAGERS AUTOMOTIVE LIMITED,Consumer Discretionary Distribution & Retail,APE.AX,Equity,False
EM2,EAGLE MOUNTAIN MINING LIMITED,Materials,EM2.AX,Equity,False
EPY,EARLYPAY LTD,Financial Services,EPY.AX,Equity,False
EE1,EARTHS ENERGY LIMITED,Materials,EE1.AX,Equity,False
EMS,EASTERN METALS LIMITED,Materials,EMS.AX,Equity,False
EFE,EASTERN RESOURCES LIMITED,Materials,EFE.AX,Equity,False
EBO,EBOS GROUP LIMITED,Health Care Equipment & Services,EBO.AX,Equity,False
EBR,EBR SYSTEMS INC.,Health Care Equipment & Services,EBR.AX,Equity,False
ECH,ECHELON RESOURCES LIMITED,Energy,ECH.AX,Equity,False
EIQ,ECHOIQ LIMITED,Software & Services,EIQ.AX,Equity,False
EPM,ECLIPSE METALS LIMITED.,Energy,EPM.AX,Equity,False
EGR,ECOGRAF LIMITED,Materials,EGR.AX,Equity,False
ECP,ECP EMERGING GROWTH LIMITED,Not Applic,ECP.AX,Equity,False
ECS,ECS BOTANICS HOLDINGS LTD,"Pharmaceuticals, Biotechnology & Life Sciences",ECS.AX,Equity,False
EDE,EDEN INNOVATIONS LTD,Energy,EDE.AX,Equity,False
EDU,EDU HOLDINGS LIMITED,Consumer Services,EDU.AX,Equity,False
EDC,EILDON CAPITAL GROUP,Financial Services,EDC.AX,Equity,False
ECF,ELANOR COMMERCIAL PROPERTY FUND,Equity Real Estate Investment Trusts (REITs),ECF.AX,Fund,False
ENN,ELANOR INVESTORS GROUP,Consumer Services,ENN.AX,Equity,False
ELD,ELDERS LIMITED,"Food, Beverage & Tobacco",ELD.AX,Equity,False
EOS,ELECTRO OPTIC SYSTEMS HOLDINGS LIMITED,Capital Goods,EOS.AX,Equity,False
E25,ELEMENT 25 LIMITED,Materials,E25.AX,Equity,False
ELT,ELEMENTOS LIMITED,Materials,ELT.AX,Equity,False
EL8,ELEVATE URANIUM LTD,Energy,EL8.AX,Equity,False
ELV,ELEVRA LITHIUM LIMITED,Materials,ELV.AX,Equity,False
EXL,ELIXINOL WELLNESS LIMITED,Household & Personal Products,EXL.AX,Equity,False
EXR,ELIXIR ENERGY LIMITED,Energy,EXR.AX,Equity,False
ELS,ELSIGHT LIMITED,Technology Hardware & Equipment,ELS.AX,Equity,False
EVO,EMBARK EARLY EDUCATION LIMITED,Consumer Services,EVO.AX,Equity,False
EMB,EMBELTON LIMITED,Capital Goods,EMB.AX,Equity,False
EHL,EMECO HOLDINGS LIMITED,Capital Goods,EHL.AX,Equity,False
EMR,EMERALD RESOURCES NL,Materials,EMR.AX,Equity,False
EMT,EMETALS LIMITED,Not Applic,EMT.AX,Equity,False
EMI,EMIRATES NBD PJSC,Not Applic,EMI.AX,Equity,False
EML,EML PAYMENTS LIMITED,Financial Services,EML.AX,Equity,False
ERM,EMMERSON RESOURCES LIMITED,Materials,ERM.AX,Equity,False
EMP,EMPEROR ENERGY LIMITED,Energy,EMP.AX,Equity,False
ERL,EMPIRE RESOURCES LIMITED,Materials,ERL.AX,Equity,False
EMU,EMU NL,Materials,EMU.AX,Equity,False
EMV,EMVISION MEDICAL DEVICES LTD,Health Care Equipment & Services,EMV.AX,Equity,False
EMD,EMYRIA LIMITED,Health Care Equipment & Services,EMD.AX,Equity,False
ENR,ENCOUNTER RESOURCES LIMITED,Materials,ENR.AX,Equity,False
EDV,ENDEAVOUR GROUP LIMITED,Consumer Staples Distribution & Retail,EDV.AX,Equity,False
ERG,ENECO REFRESH LTD,"Food, Beverage & Tobacco",ERG.AX,Equity,False
ENX,ENEGEX LIMITED,Materials,ENX.AX,Equity,False
EAX,ENERGY ACTION LIMITED,Commercial & Professional Services,EAX.AX,Equity,False
EME,ENERGY METALS LTD,Energy,EME.AX,Equity,False
EOL,ENERGY ONE LIMITED,Software & Services,EOL.AX,Equity,False
ERA,ENERGY RESOURCES OF AUSTRALIA LIMITED,Energy,ERA.AX,Equity,False
EGY,ENERGY TECHNOLOGIES LIMITED,Capital Goods,EGY.AX,Equity,False
ETM,ENERGY TRANSITION MINERALS LTD,Materials,ETM.AX,Equity,False
EWC,ENERGY WORLD CORPORATION LTD,Utilities,EWC.AX,Equity,False
EGG,ENERO GROUP LIMITED,Media & Entertainment,EGG.AX,Equity,False
ENL,ENLITIC INC.,Health Care Equipment & Services,ENL.AX,Equity,False
ENV,ENOVA MINING LIMITED,Materials,ENV.AX,Equity,False
EEL,ENRG ELEMENTS LTD,Materials,EEL.AX,Equity,False
ENT,ENTERPRISE METALS LIMITED,Materials,ENT.AX,Equity,False
EAT,ENTERTAINMENT REWARDS LTD,Media & Entertainment,EAT.AX,Equity,False
ECT,ENVIRONMENTAL CLEAN TECHNOLOGIES LIMITED.,Commercial & Professional Services,ECT.AX,Equity,False
EGL,ENVIRONMENTAL GROUP LIMITED (THE),Capital Goods,EGL.AX,Equity,False
EPN,EPSILON HEALTHCARE LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",EPN.AX,Equity,False
EPX,EPX LIMITED,Software & Services,EPX.AX,Equity,False
EQR,EQ RESOURCES LIMITED,Materials,EQR.AX,Equity,False
EQT,EQT HOLDINGS LIMITED,Financial Services,EQT.AX,Equity,False
EQX,EQUATORIAL RESOURCES LIMITED,Materials,EQX.AX,Equity,False
EQN,EQUINOX RESOURCES LIMITED.,Materials,EQN.AX,Equity,False
EQS,EQUITY STORY GROUP LTD,Financial Services,EQS.AX,Equity,False
ERD,EROAD LIMITED,Technology Hardware & Equipment,ERD.AX,Equity,False
ESR,ESTRELLA RESOURCES LIMITED,Materials,ESR.AX,Equity,False
ESK,ETHERSTACK PLC,Software & Services,ESK.AX,Equity,False
EGH,EUREKA GROUP HOLDINGS LIMITED,Real Estate Management & Development,EGH.AX,Equity,False
