Open,High,Low,Close,Volume,Date,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,EMA_12,EMA_26,EMA_50,EMA_200,RSI,RSI_21,STOCH_K,STOCH_D,WILLR,CCI,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,BB_width,BB_position,ATR,NATR,TRANGE,AD,ADOSC,OBV,DOJI,HAMMER,ENGULFING,HARAMI,ADX,AROON_UP,AROON_DOWN,AROONOSC,SAR,SAREXT,Returns,Log_Returns,Volatility_20,Volatility_5,Momentum_5,Momentum_10,Momentum_20,Volume_SMA_20,Volume_Ratio,Volume_Price_Trend,Price_Position_20,Price_Position_50,Trend_Strength_20,Trend_Strength_50,Support_20,Resistance_20,Support_Distance,Resistance_Distance
1871.75,1871.75,1871.75,1871.75,0,2020-10-16 00:00:00-04:00,1867.1,1839.55,1799.7125,1776.28,1701.2375,1662.18625,1835.9789631528604,1805.9881492977595,1772.118842857284,1663.97815920398,68.08448952288398,65.53137789712343,51.15006345177661,63.943645031695354,-3.0131826741996237,82.68733850129183,29.990813855100214,22.028697038850503,7.962116816249711,1897.9697230169297,1799.7125,1701.4552769830705,0.10919213265110914,0.8665761039653437,14.32609371428592,0.765384998759766,10.25,26.0,-1.0842882147699129e-11,-35.0,100,0,0,0,22.843374380988596,21.42857142857143,71.42857142857143,50.0,1797.4331414133283,1797.4331414133283,0.005506312113886747,0.005491207798023099,0.17449373832690837,0.06922532293323384,0.0006682705159049007,0.05095451993262223,0.05644137152532802,1.5,0.0,-0.09487488693404544,0.972027972027972,0.9766081871345029,7.662593984962367,1.860576230492212,1732.75,1875.75,0.07426205422732737,0.0021370375317216507
1858.0,1858.0,1858.0,1858.0,0,2020-10-19 00:00:00-04:00,1863.55,1847.0,1804.6875,1778.375,1704.51,1662.32625,1839.3668149754972,1809.8408789794069,1775.4867313726847,1665.90872478404,63.40341565903967,62.48826907569224,28.64583333333329,45.09752753558819,-13.370998116760829,52.948494650410694,29.525935996089856,23.528144830298373,5.997791165791483,1904.1624811510394,1804.6875,1705.2125188489606,0.11024067175180124,0.7679693898059258,14.284944163265497,0.768834454427637,13.75,26.0,-8.86757334228605e-12,-35.0,100,0,0,0,23.126472583483974,14.285714285714286,64.28571428571429,50.0,1805.2648272719955,1805.2648272719955,-0.007346066515293126,-0.007373181737010718,0.17439082732445982,0.08110168197397105,-0.00946288151406105,0.04177179702831513,0.0565823144725619,1.2,0.0,-0.05000399657140964,0.8758741258741258,0.8961988304093568,7.8445488721804,1.9964585834333692,1732.75,1875.75,0.06741119483315393,0.009553283100107642
1841.0,1841.0,1841.0,1841.0,0,2020-10-20 00:00:00-04:00,1858.4,1853.2,1808.675,1779.9,1707.5975,1662.32125,1839.618074210036,1812.1489620179693,1778.0558791619912,1667.6509265274824,58.08601037180009,58.935394312891056,24.999999999999957,34.93196559503658,-26.17702448210923,19.49668636933554,27.469112192066405,24.316338302651978,3.1527738894144264,1907.2550562994447,1808.675,1710.0949437005552,0.10900803770654736,0.6639530408757847,14.478876723032247,0.7864680457920828,17.0,26.0,-7.254641332110623e-12,-35.0,100,0,0,0,22.629719877112873,7.142857142857143,57.142857142857146,50.0,1812.3133445447959,1812.3133445447959,-0.00914962325080737,-0.009191738140706021,0.17948071439988492,0.09553377151147299,-0.013794027052363766,0.03485103991006189,0.04528034066713982,0.9,0.0,-0.059386993443744096,0.756993006993007,0.7967836257309941,7.6774436090225056,2.110444177671053,1732.75,1875.75,0.05879956545355785,0.018875611080934274
1851.5,1851.5,1851.5,1851.5,0,2020-10-21 00:00:00-04:00,1856.75,1858.3,1814.0125,1781.615,1710.755,1662.46875,1841.4460627931073,1815.063853720342,1780.9360407634817,1669.4802705421343,60.3006137691025,60.39573128139646,11.38211382113817,21.67598238482377,-25.064599483204134,29.702537182852208,26.382209072765136,24.72951245667461,1.6526966160905268,1909.6868794074514,1814.0125,1718.3381205925486,0.1054837046684644,0.6959119057378507,14.194671242815659,0.7666579121153475,10.5,26.0,-5.9330318435968366e-12,-35.0,100,0,0,0,22.484822050800584,0.0,50.0,50.0,1818.6570100903164,1818.6570100903164,0.005703422053231932,0.005687219120589514,0.17441229910643896,0.1115850595077178,-0.004436080118295438,0.028325465148569817,0.0611835506519558,0.6,0.0,-0.0031769153741914025,0.8304195804195804,0.8581871345029239,7.279887218045091,2.244261704681886,1732.75,1875.75,0.06413718606535242,0.013097488522819336
1845.25,1845.25,1845.25,1845.25,0,2020-10-22 00:00:00-04:00,1853.5,1860.175,1819.6375,1783.29,1713.635,1662.68125,1842.03128390186,1817.299864555872,1783.4581568119727,1671.2292230740534,58.325153707537815,59.08255003673728,15.989159891598874,17.457091237578965,-31.52454780361757,7.79545978715685,24.73141934598766,24.72989383453722,0.0015255114504419964,1908.5276674821291,1819.6375,1730.747332517871,0.09770096239732262,0.6440682401973717,13.627194725471684,0.7385012722109028,6.25,26.0,-4.853006885241484e-12,-35.0,100,0,0,0,22.068065406366404,14.285714285714286,42.85714285714286,28.571428571428573,1824.3663090812847,1824.3663090812847,-0.003375641371860638,-0.003381351703505644,0.17220248464018148,0.11138178995149335,-0.008729519204942249,0.010265535176567253,0.06492569614774202,0.3,0.0,0.03808974174000834,0.7702448210922788,0.8216374269005848,6.443045112781953,2.344729891956775,1743.0,1875.75,0.05541254572551145,0.01652892561983471
1845.5,1845.5,1845.5,1845.5,0,2020-10-23 00:00:00-04:00,1848.25,1857.675,1824.725,1785.545,1716.365,1662.89125,1842.5649325323432,1819.3887634776593,1785.8911702703267,1672.963260655406,58.38388272763101,59.119881916569206,24.81268930336358,17.394654338700175,-31.266149870801033,-3.8088062949939254,23.17616905468367,24.41914887856651,-1.2429798238828411,1907.0652847942686,1824.725,1742.3847152057313,0.09024952778557718,0.6261533163985737,12.67168081650942,0.6866258908972864,0.25,26.0,-3.9683811792201595e-12,-35.0,100,0,0,0,21.689466969399373,7.142857142857143,35.714285714285715,28.571428571428573,1829.5046781731562,1829.5046781731562,0.00013548299688381782,0.00013547381989147044,0.17211091278049612,0.09466347058634642,-0.014024308801923291,-0.013365410318096793,0.05835125448028666,0.0,0.0,0.0,0.7721280602636534,0.8230994152046783,5.614285714285672,2.367334933973591,1743.0,1875.75,0.05554050392847467,0.016391221891086428
1831.25,1831.25,1831.25,1831.25,0,2020-10-26 00:00:00-04:00,1842.9,1853.225,1827.85,1788.075,1718.985,1662.99,1840.8241736812136,1820.2673735904252,1787.6699479067845,1674.5382530866955,53.7355226336047,56.058771266646765,13.430575482225366,18.077474892395905,-59.13621262458472,-79.50837041746117,20.5568000907881,23.646679121010827,-3.0898790302227255,1906.097907320268,1827.85,1749.6020926797319,0.08561742738219005,0.5217258206413362,12.784417901044462,0.6981252096133495,14.25,26.0,-3.2436275887448573e-12,-35.0,100,0,0,0,20.673859710912126,0.0,28.571428571428573,28.571428571428573,1875.75,-1875.75,-0.0077214846924952285,-0.007751449704675795,0.17046450096400598,0.09582802506420793,-0.014397201291711514,-0.023723843795815047,0.035335689045936425,0.0,0.0,-0.0,0.664783427495292,0.711038961038961,4.823684210526279,2.2770108043217214,1743.0,1875.75,0.04819112627986348,0.02430034129692833
1825.0,1825.0,1825.0,1825.0,0,2020-10-27 00:00:00-04:00,1839.7,1849.05,1829.775,1790.14,1721.2675,1663.125,1838.3896854225652,1820.617938509653,1789.133871518283,1676.0353848967782,51.78798594317035,54.75317402872566,8.823529411764662,15.688931399117834,-100.00000000000001,-127.9461279461278,17.77174691291225,22.47169267939111,-4.699945766478862,1905.7195356822976,1829.775,1753.8304643177025,0.08300969865944999,0.46856258348872143,12.317673765255572,0.674941028233182,6.25,26.0,-2.6503244043851737e-12,-35.0,100,0,0,0,19.452576277739023,0.0,21.42857142857143,21.42857142857143,1874.86,-1874.86,-0.0034129692832765013,-0.003418806748785609,0.1685122636400188,0.07944160719676424,-0.00869092884302014,-0.022365072987813095,0.0215505177721802,0.0,0.0,-0.0,0.6177024482109228,0.6451048951048951,4.130075187969904,2.2014645858343265,1743.0,1875.75,0.044931506849315066,0.027808219178082193
1811.5,1811.5,1811.5,1811.5,0,2020-10-28 00:00:00-04:00,1831.7,1844.225,1831.425,1791.39,1723.2075,1663.1375,1834.2528107421706,1819.9425356570862,1790.0109745959974,1677.3832915147207,47.76137707532308,52.00614432576577,-4.263256414560601e-14,7.418034964663293,-100.0,-172.70095747049714,14.310275085084413,20.839409160529772,-6.529134075445359,1904.2099744109435,1831.425,1758.6400255890564,0.07948452643263416,0.3631242219891187,12.402125639165888,0.6846329361946392,13.5,26.0,-2.1671553440683056e-12,-35.0,100,0,0,0,18.38291554286986,100.0,14.285714285714286,-85.71428571428572,1872.8655999999999,-1872.8655999999999,-0.0073972602739725835,-0.007424755681459936,0.17010950564081553,0.051805142169180446,-0.02160410477990815,-0.025944347358515918,0.01855496204666851,0.0,0.0,-0.0,0.5160075329566854,0.5506993006993007,3.0593984962405254,2.1509723889555787,1743.0,1875.75,0.03781396632624896,0.03546784432790505
1801.25,1801.25,1801.25,1801.25,0,2020-10-29 00:00:00-04:00,1822.9,1838.2,1834.3375,1791.96,1725.09,1663.1425,1829.1754552433752,1818.557903386191,1790.451720690272,1678.6157960767632,44.90645674220145,50.00602553734436,-4.263256414560601e-14,2.941176470588157,-100.0,-171.4773114977823,10.617551857184253,18.795037699860668,-8.177485842676415,1896.6434537684606,1834.3375,1772.0315462315396,0.06793292266931307,0.23447561590214286,12.248402379225467,0.679994580387257,10.25,26.0,-1.7692514120426495e-12,-35.0,100,0,0,0,17.797504858237794,100.0,7.142857142857143,-92.85714285714286,1869.183664,-1869.183664,-0.005658294231300043,-0.0056743630214000935,0.1535327906596768,0.05162251978342602,-0.023845007451564815,-0.03236637120601671,0.0334193918531267,0.0,0.0,-0.0,0.22997416020671835,0.479020979020979,1.2321428571427788,2.1285234093637473,1779.0,1875.75,0.012352532963219986,0.041360166551006244
