Open,High,Low,Close,Volume,Date
128.296875,128.921875,128.15625,128.625,1250468,2020-01-02 00:00:00-05:00
128.65625,129.4375,128.625,129.390625,1817748,2020-01-03 00:00:00-05:00
129.5,129.65625,129.15625,129.25,1666524,2020-01-06 00:00:00-05:00
129.234375,129.390625,129.140625,129.15625,1450885,2020-01-07 00:00:00-05:00
129.25,130.1875,128.734375,128.765625,2993268,2020-01-08 00:00:00-05:00
128.765625,128.9375,128.546875,128.890625,1594105,2020-01-09 00:00:00-05:00
128.859375,129.171875,128.765625,129.078125,1369615,2020-01-10 00:00:00-05:00
129.109375,129.109375,128.8125,128.921875,1055289,2020-01-13 00:00:00-05:00
128.921875,129.234375,128.78125,129.140625,1421799,2020-01-14 00:00:00-05:00
129.171875,129.4375,129.125,129.34375,1349774,2020-01-15 00:00:00-05:00
129.359375,129.4375,129.078125,129.15625,1373300,2020-01-16 00:00:00-05:00
129.109375,129.21875,128.90625,129.046875,1390519,2020-01-17 00:00:00-05:00
129.125,129.609375,129.109375,129.578125,1664597,2020-01-21 00:00:00-05:00
129.53125,129.625,129.375,129.546875,1349211,2020-01-22 00:00:00-05:00
129.546875,130.03125,129.546875,129.78125,1938652,2020-01-23 00:00:00-05:00
129.8125,130.375,129.59375,130.28125,2201734,2020-01-24 00:00:00-05:00
130.578125,130.96875,130.53125,130.890625,2434005,2020-01-27 00:00:00-05:00
130.8125,131.1875,130.453125,130.609375,2306819,2020-01-28 00:00:00-05:00
130.515625,131.15625,130.421875,131.015625,1757332,2020-01-29 00:00:00-05:00
131.0625,131.53125,131.0,131.3125,2694207,2020-01-30 00:00:00-05:00
131.015625,131.828125,130.9375,131.65625,2664632,2020-01-31 00:00:00-05:00
131.859375,131.90625,131.125,131.578125,2331880,2020-02-03 00:00:00-05:00
131.546875,131.640625,130.75,130.890625,2200574,2020-02-04 00:00:00-05:00
130.921875,131.140625,130.359375,130.546875,2584163,2020-02-05 00:00:00-05:00
130.546875,130.65625,130.21875,130.5625,1858725,2020-02-06 00:00:00-05:00
130.546875,131.140625,130.515625,131.078125,2331670,2020-02-07 00:00:00-05:00
131.09375,131.390625,130.890625,131.359375,1689593,2020-02-10 00:00:00-05:00
131.125,131.1875,130.875,131.0,1579786,2020-02-11 00:00:00-05:00
130.890625,130.9375,130.609375,130.6875,1700284,2020-02-12 00:00:00-05:00
130.65625,131.171875,130.640625,130.765625,2149666,2020-02-13 00:00:00-05:00
130.734375,131.125,130.734375,130.984375,1496111,2020-02-14 00:00:00-05:00
130.9375,131.390625,130.828125,131.203125,1883347,2020-02-18 00:00:00-05:00
131.171875,131.25,130.9375,131.078125,1663072,2020-02-19 00:00:00-05:00
131.09375,131.59375,130.9375,131.4375,2356919,2020-02-20 00:00:00-05:00
131.5,132.140625,131.4375,131.859375,3397725,2020-02-21 00:00:00-05:00
132.203125,132.890625,132.09375,132.65625,4232656,2020-02-24 00:00:00-05:00
132.734375,133.328125,132.34375,133.125,5598034,2020-02-25 00:00:00-05:00
132.90625,133.40625,132.703125,133.328125,4313431,2020-02-26 00:00:00-05:00
133.09375,133.96875,133.015625,133.4375,2733280,2020-02-27 00:00:00-05:00
133.703125,134.984375,133.546875,134.84375,275925,2020-02-28 00:00:00-05:00
135.03125,135.84375,134.578125,135.265625,85076,2020-03-02 00:00:00-05:00
134.546875,136.953125,134.484375,136.0,60328,2020-03-03 00:00:00-05:00
136.140625,136.640625,135.671875,136.25,43117,2020-03-04 00:00:00-05:00
135.75,136.9375,135.671875,136.765625,22117,2020-03-05 00:00:00-05:00
136.796875,138.484375,136.703125,138.046875,12490,2020-03-06 00:00:00-05:00
138.546875,140.703125,138.5,139.296875,6044,2020-03-09 00:00:00-04:00
137.78125,138.75,137.0,137.546875,4485,2020-03-10 00:00:00-04:00
137.625,138.375,136.640625,137.140625,5095,2020-03-11 00:00:00-04:00
138.46875,138.890625,136.734375,136.890625,2227,2020-03-12 00:00:00-04:00
136.125,137.125,135.78125,135.796875,805,2020-03-13 00:00:00-04:00
136.65625,138.375,136.65625,138.0625,8394,2020-03-16 00:00:00-04:00
140.0,140.0,135.65625,136.0625,3026,2020-03-17 00:00:00-04:00
